Description,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"11_Intake Air Temperature","IntakeTemp","22240D","(1.0*((A*256+B)-2730))/10","0","0","°C","7E0"
"11_Boost Pressure","BoostPress","222401","(A*256+B)","0","0","mbar","7E0"
"11_Coolant Temperature","CoolantTemp","222001","(1.0*((A*256+B)-2730))/10","0","0","°C","7E0"
"11_Engine Torque","EngineTorque","222004","(1.0*((A*256+B)-12800))/32","0","0","Nm","7E0"
"11_Fuel Rail Pressure","FuelRailPress","222801","(A*256+B)","0","0","bar","7E0"
"11_Fuel Rail Pressure Setpoint","FuelRailSet","222802","(A*256+B)","0","0","bar","7E0"
"11_DPF Inlet Temperature","DPFInletTemp","222442","(1.0*((A*256+B)-2730))/10","0","0","°C","7E0"
"11_DPF Failed Regeneration Attempts","DPFRegenFail","222485","A","0","0","","7E0"
"11_DPF Soot Mass","DPFSootMass","22242C","(1.0*((A*256+B)))/100","0","0","g","7E0"
"11_DPF Soot Mass After Regeneration","DPFSootAfter","2224A5","(1.0*((A*256+B)))/100","0","0","g","7E0"
"11_DPF Differential Pressure","DPFDiffPress","222542","(A*256+B)-32768","0","0","mbar","7E0"
"11_DPF Sensor Voltage","DPFSensorVolt","22FD88","(1.0*((A*256+B)))/6553","0","0","V","7E0"
"11_Static DPF Regeneration Status","StaticDPFRegen","222434","(A&7)","0","0","","7E0"
"11_Mileage Since Last Successful Regeneration","RegenMileage","2224A9","(A*65536+B*256+C)","0","0","km","7E0"
"11_Turbine Inlet Pressure","TurbineInletPress","222448","(A*256+B)","0","0","mbar","7E0"
"11_Fuel Temperature","FuelTemp","222008","(1.0*((A*256+B)-2730))/10","0","0","°C","7E0"
"11_Fuel Rail Pressure Sensor Voltage","FuelRailVolt","22FD8A","(1.0*((A*256+B)))/13106.159","0","0","V","7E0"
"11_Cylinder No. 1 Fuel Flow Correction","Cyl1FuelFlow","22FD07","0.0000305*(A*256+B)","0","0","","7E0"
"11_Cylinder No. 2 Fuel Flow Correction","Cyl2FuelFlow","22FD08","0.0000305*(A*256+B)","0","0","","7E0"
"11_Cylinder No. 3 Fuel Flow Correction","Cyl3FuelFlow","22FD09","0.0000305*(A*256+B)","0","0","","7E0"
"11_Cylinder No. 4 Fuel Flow Correction","Cyl4FuelFlow","22FD0A","0.0000305*(A*256+B)","0","0","","7E0"
"11_Accelerator Pedal Position","AccelPedalPos","22202E","(1.0*((A*256+B)))/800","0","0","","7E0"
"11_Vehicle Mileage","VehicleMileage","222006","(A*65536+B*256+C)","0","0","km","7E0"
"11_EGR Valve Control","EGRValveCtrl","222409","(1.0*((A*256+B)-32767))/100","0","0","%","7E0"
"11_Turbine Inlet Temp Sensor Voltage","TurbineTempVolt","22243A","((A*256+B))*0.0001526018","0","0","V","7E0"
"11_Alternator Charge Level","AltCharge","222099","(A)*0.3921568","0","0","%","7E0"
"11_Intake Airflow","IntakeFlow","222412","(1.0*((A*256+B)))/10","0","0","mg/cp","7E0"
"11_EGR Valve Position","EGRValvePos","222407","0.0488*((A*256+B))","0","0","%","7E0"
"11_EGR Sensor Supply Voltage","EGRSensorVolt","2224D5","(A*256+B)","0","0","mV","7E0"
"11_Refrigerant Pressure","RefrigPress","22222A","(1.0*((A*256+B)))/10","0","0","bar","7E0"
"11_Generator Power Output","GenPower","222057","10*(A*256+B)","0","0","W","7E0"
"11_Oil Dilution Degree","OilDilution","222294","(1.0*(signed(A*16777216+B*65536+C*256+D)))/214748364.8","0","0","%","7E0"
"11_Oil Viscosity Reduction Info","OilViscosity","222489","(1.0*((A*256+B)))/655","0","0","%","7E0"
"11_Total Vehicle Mileage","TotalMileage","222006","(A*65536+B*256+C)","0","0","km","7E0"
"11_Post-Injection Timing","PostInjection","222813","(1.0*((A*256+B)-32767))/50","0","0","V","7E0"
"11_Post-Injection System Flow","PostInjectionFlow","22280D","(1.0*((A*256+B)))/100","0","0","mg/cp","7E0"
"11_Low-Pressure EGR Valve Sensor Voltage","LowPressEGRVolt","22259E","(A*256+B)","0","0","mV","7E0"
"11_Oxygen Ratio","OxygenRatio","222519","0.1*(A*256+B)","0","0","%","7E0"
"11_Uncorrected Manifold Pressure","ManifoldPress","2224E1","(A*256+B)","0","0","mbar","7E0"
"11_Air Temperature","AirTemp","22EF0F","A-40","0","0","°C","7E0"
"11_Refrigerant Pressure Sensor Voltage","RefrigPressVolt","22200D","(1.0*((A*256+B)))/100","0","0","V","7E0"
"11_Temperature Before Catalytic Converter","PreCatTemp","22243B","(1.0*((A*256+B)-2730))/10","0","0","°C","7E0"
"11_Crankshaft Rotations","CrankRot","22210E","(1.0*(signed(A*16777216+B*65536+C*256+D)+2147483648))/1000000","0","0","","7E0"
"11_Brake No. 1 Contact Duration","Brake1Duration","22206A","(A*256+B)","0","0","s","7E0"
"11_Brake No. 2 Contact Duration","Brake2Duration","22206B","(A*256+B)","0","0","s","7E0"
"11_Clutch Pedal Contact Switch","ClutchSwitch","22222D","(A&7)","0","0","","7E0"
"11_Reverse Gear Engagement","ReverseGear","222079","{A:1}","0","0","","7E0"
"11_Traction Control System Status","TractionCtrl","222079","{A:2}","0","0","","7E0"
"11_Parking Brake Status","ParkingBrake","222079","{A:4}","0","0","","7E0"
